restaurant name,restaurant type,rate (out of 5),num of ratings,avg cost (two people),online_order,table booking,cuisines type,area,local address
Uttarkhand,Casual Dining,2.9,21,700.0,0,0,Chinese,Malleshwaram,Seshadripuram
Uttarkhand,Casual Dining,2.9,21,700.0,0,0,North Indian,Malleshwaram,Seshadripuram
Uttarkhand,Casual Dining,2.9,21,700.0,0,0,Continental,Malleshwaram,Seshadripuram
V B Bakery,Bakery,4.2,502,150.0,0,0,Bakery,Basavanagudi,Basavanagudi
V.S. Garden Restaurant,Casual Dining,3.5,17,800.0,0,0,North Indian,Koramangala 4th Block,Ejipura
V.S. Garden Restaurant,Casual Dining,3.5,17,800.0,0,0,Chinese,Koramangala 4th Block,Ejipura
Vaathsalya Millet Cafe,Casual Dining,4.1,293,500.0,1,1,Healthy Food,Bannerghatta Road,JP Nagar
Vaathsalya Millet Cafe,Casual Dining,4.1,293,500.0,1,1,South Indian,Bannerghatta Road,JP Nagar
Vaho Kafe & Pressery,Cafe,3.9,124,500.0,0,0,Cafe,Bannerghatta Road,Bannerghatta Road
Vaho Kafe & Pressery,Cafe,3.9,124,500.0,0,0,Healthy Food,Bannerghatta Road,Bannerghatta Road
Vaho Kafe & Pressery,Cafe,3.9,124,500.0,0,0,Asian,Bannerghatta Road,Bannerghatta Road
Vaho Kafe & Pressery,Cafe,3.9,124,500.0,0,0,Italian,Bannerghatta Road,Bannerghatta Road
Vaho Kafe & Pressery,Cafe,3.9,124,500.0,0,0,North Indian,Bannerghatta Road,Bannerghatta Road
Vaho Kafe & Pressery,Cafe,3.9,124,500.0,0,0,Biryani,Bannerghatta Road,Bannerghatta Road
Vaho Kafe & Pressery,Cafe,3.9,124,500.0,0,0,Juices,Bannerghatta Road,Bannerghatta Road
Vaigai Express,Food Court,3.3,9,400.0,1,0,South Indian,Brookefield,Whitefield
Vaigai Express,Food Court,3.3,9,400.0,1,0,North Indian,Brookefield,Whitefield
Vaigai Express,Food Court,3.3,9,400.0,1,0,Chinese,Brookefield,Whitefield
Vaishali Deluxe,Casual Dining,3.8,42,700.0,0,0,North Indian,Banashankari,Banashankari
Vaishali Deluxe,Casual Dining,3.8,42,700.0,0,0,Chinese,Banashankari,Banashankari
Vakulaa Veg Restaurant,Quick Bites,3.9,49,200.0,1,0,South Indian,Basavanagudi,Jayanagar
Vakulaa Veg Restaurant,Quick Bites,3.9,49,200.0,1,0,North Indian,Basavanagudi,Jayanagar
Vanas,Casual Dining,4.0,72,400.0,1,0,Mangalorean,Frazer Town,Kammanahalli
Vanas,Casual Dining,4.0,72,400.0,1,0,Seafood,Frazer Town,Kammanahalli
Vandana Andhra and Multi Cuisine,Casual Dining,4.1,481,900.0,1,1,Andhra,Bellandur,Sarjapur Road
Vandana Andhra and Multi Cuisine,Casual Dining,4.1,481,900.0,1,1,Hyderabadi,Bellandur,Sarjapur Road
Vandana Andhra and Multi Cuisine,Casual Dining,4.1,481,900.0,1,1,Biryani,Bellandur,Sarjapur Road
Vandana Andhra and Multi Cuisine,Casual Dining,4.1,481,900.0,1,1,Chinese,Bellandur,Sarjapur Road
Vandana Andhra and Multi Cuisine,Casual Dining,4.1,481,900.0,1,1,North Indian,Bellandur,Sarjapur Road
Vande Matharam,Casual Dining,2.3,178,500.0,1,0,North Indian,Malleshwaram,Rajajinagar
Vande Matharam,Casual Dining,2.3,178,500.0,1,0,Chinese,Malleshwaram,Rajajinagar
Vande Matharam,Casual Dining,2.3,178,500.0,1,0,South Indian,Malleshwaram,Rajajinagar
Vande Matharam,Casual Dining,2.3,178,500.0,1,0,Street Food,Malleshwaram,Rajajinagar
Vani Hindu Military Hotel,Quick Bites,3.3,4,250.0,0,0,South Indian,Indiranagar,Indiranagar
Vanilla Pod,Bakery,2.8,40,300.0,0,0,Bakery,Koramangala 4th Block,Koramangala 4th Block
Vanilla Sky,Lounge,4.6,766,1200.0,0,1,Chinese,HSR,HSR
Vanilla Sky,Lounge,4.6,766,1200.0,0,1,Continental,HSR,HSR
Vanilla Sky,Lounge,4.6,766,1200.0,0,1,North Indian,HSR,HSR
Vanilla Sky,Lounge,4.6,766,1200.0,0,1,Finger Food,HSR,HSR
Varenyam,Casual Dining,3.7,56,500.0,0,0,South Indian,Electronic City,Electronic City
Varenyam,Casual Dining,3.7,56,500.0,0,0,North Indian,Electronic City,Electronic City
Vasanth Vihar - Since 1965,Quick Bites,3.6,95,150.0,1,0,South Indian,Banashankari,Banashankari
Vasanth Vihar - Since 1965,Quick Bites,3.6,95,150.0,1,0,Street Food,Banashankari,Banashankari
Vasantha Grand,Quick Bites,2.8,40,250.0,0,0,South Indian,Bannerghatta Road,JP Nagar
Vasantha Grand,Quick Bites,2.8,40,250.0,0,0,North Indian,Bannerghatta Road,JP Nagar
Vasantha Grand,Quick Bites,2.8,40,250.0,0,0,Chinese,Bannerghatta Road,JP Nagar
Vasu Biriyani Paradise,Quick Bites,3.1,6,350.0,0,0,North Indian,Electronic City,Electronic City
Vasu Biriyani Paradise,Quick Bites,3.1,6,350.0,0,0,Biryani,Electronic City,Electronic City
Vasu Biriyani Paradise,Quick Bites,3.1,6,350.0,0,0,Chinese,Electronic City,Electronic City
Vasudev Adiga's,Casual Dining,2.3,291,250.0,0,0,South Indian,JP Nagar,Bannerghatta Road
Vasudev Adiga's,Casual Dining,2.3,291,250.0,0,0,North Indian,JP Nagar,Bannerghatta Road
Vasudev Adiga's,Casual Dining,2.3,291,250.0,0,0,Chinese,JP Nagar,Bannerghatta Road
Vasudev Adiga's,Casual Dining,2.3,291,250.0,0,0,Street Food,JP Nagar,Bannerghatta Road
Vayam Veg Fine Dine,Casual Dining,3.8,36,700.0,1,0,North Indian,Rajajinagar,Magadi Road
Vayam Veg Fine Dine,Casual Dining,3.8,36,700.0,1,0,South Indian,Rajajinagar,Magadi Road
Vayam Veg Fine Dine,Casual Dining,3.8,36,700.0,1,0,Chinese,Rajajinagar,Magadi Road
Vayam Veg Fine Dine,Casual Dining,3.8,36,700.0,1,0,Mexican,Rajajinagar,Magadi Road
Veena Stores,Quick Bites,4.5,2407,150.0,1,0,South Indian,Malleshwaram,Malleshwaram
